show_id,title,Likes,Languages,Genres,Descriptions
s89,Blood Brothers: Malcolm X & Muhammad Ali,61%,,,"The extraordinary story behind the friendship of two of the most iconic figures of the 20th century, Muhammad Ali and Malcolm X: the charismatic and outspoken Olympic champion who charmed the nation, and the ex-con-turned intellectual revolutionary who railed against the evils of white oppression by speaking truth to power."
s92,The Women and the Murderer,,French,,The capture of serial killer Guy Georges through the tireless work of two women -- a police chief and a victim's mother.
s93,Into the Night,79%," Turkish, English, Spanish, French, Arabic, Russian, Italian, Dutch, Polish"," Drama, Apocalyptic and post-apocalyptic fiction, Thriller","When the sun starts to kill everything in its path, a plane full of passengers must travel at night in an attempt to escape its destructive power and find some place safe."
s94,JJ+E,68%,Swedish,,"Elizabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?"
s96,The Circle,86%,English,Reality television,"In this lighthearted and strategic competition series, the players must choose whether to be themselves or other people -- all while chasing a cash prize."
s98,Kid Cosmic,83%,," Adventure, Superhero fiction, Comedy drama, Action fiction, Science fiction comedy",An imaginative boy acquires superpowers after finding five cosmic rings.
s99,Octonauts: Above & Beyond,71%,English,,"The Octonauts expand their exploration beyond the sea - and onto land. With new rides and new friends, they are prepared to protect any habitats and animals at risk on land or under the water."
s100,On the Verge,80%,English,,"Four woman -- a chef, a single mother, an heiress, and a job seeker -- dig into love, work and midlife crises in pre-pandemic Los Angeles."
s102,Untold: Breaking Point,66%,,,Untold: Breaking Point is a 2021 American biographical documentary film made for Netflix and directed by Chapman Way and Maclain Way. Wikipedia
s103,Countdown: Inspiration4 Mission to Space,81%,,,"A chronicle of the SpaceX Dragon mission, Inspiration4, in which four civilians travel into space on a three-day trip."
s107,Bunk'd,83%,," Sitcom, Television comedy, Teen sitcom","Emma, Ravi and Zuri Ross go to find adventure at the summer camp in Maine, where their parents had met for the first time."
s109,Dive Club,78%,English," Drama, Adolescence",Teen divers unravel a mystery when their best friend disappears after a storm hits their small coastal town.
s110,La casa de papel,95%,Spanish," Heist, Drama, Thriller, Crime film","A criminal mastermind who goes by ""The Professor"" has a plan to pull off the biggest heist in recorded history -- to print billions of euros in the Royal Mint of Spain. To help him carry out the ambitious plan, he recruits eight people with certain abilities and who have nothing to lose. The group of thieves take hostages to aid in their negotiations with the authorities, who strategize to come up with a way to capture The Professor. As more time elapses, the robbers prepare for a showdown with the police.â€¦\xa0MORE"
s111,Money Heist: From Tokyo to Berlin,78%,Spanish,,"The cast and crew open up about their emotional artistic processes while filming the first half of the final season of the TV series, ""Money Heist."""
s112,Sharkdog,72%,English,,"Ten-year-old Max and his best friend, Sharkdog, embark on adventures; half shark, half dog, Sharkdog often leaves a trail of chaos in his wake."
s113,Worth,75%,,,"When Kenneth Feinberg is appointed as the special counsel for a compensation fund, he joins hands with Camille Biros and bends the rules to favour the victims of a major terror attack."
s2,Blood & Water,85%,English,Drama,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth."
s3,Ganglands,79%,French,,"When his niece comes into contact with a powerful drug lord, Mehdi and his team of experienced robbers find themselves embroiled in a violent and deadly turf war."
s4,Jailbirds New Orleans,82%,,,"The lives of incarcerated women at the Orleans Justice Center in New Orleans, including feuds and flirtations."
s5,Kota Factory,97%,Hindi,,"Like many students from across India, Vaibhav comes to Kota to prepare for JEE and NEET. Along with his friends, he navigates campus life and works hard to get into IIT."
s6,Midnight Mass,87%,English,,"The arrival of a charismatic priest brings miracles, mysteries and renewed religious fervour to a dying town."
s7,My Little Pony: A New Generation,73%,,,Sunny believes her father's fairytales on old Equestria and strives to rebuild a world where all three pony races can live peacefully.
s9,The Great British Baking Show,91%,,,Home bakers compete against each other in order to prove their baking skills and win the title of Britain's best amateur baker.
s10,The Starling,75%,,,"After Lilly suffers a loss, a combative Starling takes nest beside her quiet home. The feisty bird taunts and attacks the grief-stricken Lilly. On her journey to expel the Starling, she rediscovers her will to live and capacity for love."
s11,"Vendetta: Truth, Lies and The Mafia",62%," English, Italian",Television documentary,What happens when the members of Sicily's anti-Mafia coalition are accused of being criminals themselves.
s12,Bangkok Breaking,67%,,,"After joining an emergency rescue service to make ends meet, a man gets caught up in a citywide conspiracy in Bangkok, Thailand."
s13,Je Suis Karl,61%,German,,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
s14,Confessions of an Invisible Girl,61%,Portuguese,,"When the clever but socially awkward TetÃª joins a new school, she'll do anything to fit in. However, the queen bee, among her classmates, has other ideas."
s15,Crime Stories: India Detectives,86%,Kannada,,Cameras following Bengaluru police on the job offer a glimpse into the inner workings of four major crime investigations.
s16,Dear White People,75%,," Satire, Comedy drama, Comedy","Based on the acclaimed film of the same name, this Netflix-original series follows a group of students of color at Winchester University, a predominantly white Ivy League college. The students are faced with a landscape of cultural bias, social injustice, misguided activism and slippery politics. Through an absurdist lens, the series uses irony, self-deprecation, brutal honesty and humor to highlight issues that still plague today\'s""post-racial"" society. Creator Justin Simien serves as an executive producer.â€¦\xa0MORE"
s19,Intrusion,57%,English,,"When a husband and wife move to a small town, a home invasion leaves the wife traumatized and suspicious that those around her might not be who they seem."
s20,Jaguar,,,,"Jaguar is the luxury vehicle brand of Jaguar Land Rover, a British multinational car manufacturer with its headquarters in Whitley, Coventry, England. Wikipedia"
s21,Monsters Inside: The 24 Faces of Billy Milligan,79%,English,Television documentary,"When accused serial rapist Billy Milligan blames his crimes on his multiple personalities, a series of legal battles capture America's attention."
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,,,,"From arcade games to sled days and hiccup cures, Cory Carson's curious little sister, Chrissy, speeds off on her own for fun and adventure all over town."
s26,Love on the Spectrum,93%,English,Reality show,"Seven young adults on the autism spectrum dive headfirst into the dating pool, exploring the unpredictable world of love and relationships."
s114,Afterlife of the Party,72%,English,,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.
s118,Final Account,48%,German,,Never-before-seen interviews with the last living generation from Hitler's Third Reich. This is the past speaking to the present. An unprecedented documentary event.
s121,Heroes of Goo Jit Zu,78%,,,"After a meteor crash, zoo animals transform into squishy, gooey and stretchy superheroes with special powers and soon take on evildoers."
s126,Q-Force,75%,," Television comedy, Action fiction, Spy-fi",A handsome secret agent and his team of LGBTQ+ superspies embark on extraordinary adventures.
s31,Ankahi Kahaniya,48%,Hindi,,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing."
s32,Chicago Party Aunt,71%,," Adult animation, Animated sitcom","Diane, AKA the Chicago Party Aunt, is always the life of the party as she helps neighbours and stays true to her mantras."
s34,Squid Game,93%,Korean," Action, Thriller, Mystery, Drama, Survival, Horror fiction, Action fiction","Hundreds of cash-strapped contestants accept an invitation to compete in children's games for a tempting prize, but the stakes are deadly."
s36,The Father Who Moves Mountains,43%,Romanian,,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing -- and risk everything -- to find him."
s37,The Stronghold,88%,French,,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. However, lines blur when a key informant makes a big ask."
s40,Chhota Bheem,68%,," Animated series, Animation, Action fiction","Bheem is an extremely brave, strong and intelligent young boy. He often manages to solve everyone's problems which endears him to the townspeople of Dholakpur."
s41,He-Man and the Masters of the Universe,88%,,,"When he holds up the magical Sword of Power and utters the words ""By the power of Grayskull,"" Prince Adam transforms into Eternia\'s greatest champion, He-Man, who uses his powers to defend the realm from Skeletor and his evil forces."
s46,My Heroes Were Cowboys,,,,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen."
s50,Castle and Castle,87%,,,A pair of successful lawyers find their marriage strained when they divide their strengths to represent different sides of the law.
s56,Nailed It,91%,,Reality television,"Home bakers who have a poor track record in the kitchen seek redemption -- and cash -- on this series. In each episode, three contestants try their hand at re-creating edible masterpieces. The projects don't always turn out great, but whichever amateur baker comes closest to a successful dessert by the end of the episode takes home the $10,000 prize, which they might want to use on baking lessons. Comic Nicole Byer and renowned pastry chef Jacques Torres host the culinary competition that features such challenges as painting self-portraits on cookies.â€¦\xa0MORE"
s65,Nightbooks,65%,,,"Scary story fan Alex must tell a spine-tingling tale every night, or stay trapped with his new friend in a wicked witch's magical apartment forever."
s66,Numberblocks,84%,English,,The adventures of ten friends in Numberland who can always count on each other. Each friend has a different ability that helps them on their adventures.
s69,Schumacher,,,,"Michael Schumacher is a German former racing driver who competed in Formula One for Jordan, Benetton, Ferrari, and Mercedes. Wikipedia"
s71,Too Hot To Handle: Latino,79%,Spanish,,"Young singles come together in a tropical paradise for what they think will be the hottest summer of their lives. However, there's a twist: they'll have to give up all hanky panky if they want to win the $100,000 grand prize."
s72,A StoryBots Space Adventure,48%,,,"The Inspiration4 crew members and the StoryBots answer kids' questions about space travel, including how rockets work, how the crew members train and how they eat and sleep in space."
s73,Jack Whitehall: Travels with My Father,90%,," Comedy, Travel documentary","Comic Jack Whitehall and his father, Michael, are like an odd couple -- the son is jovial and the patriarch is stuffy. So traveling together makes for an interesting dynamic, as viewers experience in this travelogue series. Jack invites Michael to go with him on a trip through Southeast Asia in an attempt to try to strengthen their bond. Along the way, the Whitehalls partake in a number of unique experiences, including attending an elephant polo match in Bangkok and taking a primitive train ride in Cambodia. When it's over, the father and son reflect on the impact of their journey. Subsequent seasons take the father-son duo to other parts of the world.â€¦\xa0MORE"
s75,The World's Most Amazing Vacation Rentals,91%,,,"With an eye for every budget, three travellers visit holiday rentals around the globe and share their expert tips and tricks."
s76,You vs. Wild: Out Cold,75%,,,"A plane crash in icy mountains leaves adventurer Bear Grylls with amnesia, and he must make choices to save the missing pilot and survive in this interactive adventure."
s78,Little Singham - Black Shadow,,,,"As the evil demon Kaal returns with renewed power to seek revenge and conquer Mirchi Nagar, Little Singham prepares for a deadly fight to defeat him."
s80,Tughlaq Durbar (Telugu),64%,Tamil,,"A young politician has devious plans to advance his career. However, he suddenly develops a conscientious alter ego that interferes with his crooked efforts."
s81,Firedrake the Silver Dragon,52%,,,"A young silver dragon joins his forces with a mountain spirit and an orphaned boy, in search of the mythological safe haven for dragons. However, the journey of the unlikely group of heroes hides great danger and many surprises."
s82,Kate,74%,,,"Slipped a fatal poison on her final job, a ruthless Tokyo assassin has less than 24 hours to find out who ordered the hit and exact revenge."
