Position,Points,Name,Known.For,Birth.Date
1,174697,Brad Pitt,Ad Astra,18/12/1963
2,169322,Morgan Freeman,Invictus,01/06/1937
3,165028,Leonardo DiCaprio,Inception,11/11/1974
4,151313,Robert De Niro,Raging Bull,17/08/1943
5,140716,Matt Damon,Good Will Hunting,08/10/1970
6,137003,Michael Caine,The Dark Knight,14/03/1933
7,126932,Christian Bale,The Dark Knight,30/01/1974
8,119774,Tom Hanks,Cast Away,09/07/1956
9,112643,Gary Oldman,The Dark Knight,21/03/1958
10,106454,Al Pacino,Serpico,25/04/1940
11,97268,Bruce Willis,Die Hard,19/03/1955
12,90851,Edward Norton,Fight Club,18/08/1969
13,88197,Harrison Ford,Raiders of the Lost Ark,13/07/1942
14,84624,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,09/06/1963
15,79799,Cillian Murphy,28 Days Later...,25/05/1976
16,79279,Philip Seymour Hoffman,The Master,23/07/1967
17,78876,Samuel L. Jackson,Pulp Fiction,21/12/1948
18,77799,Ralph Fiennes,The Grand Budapest Hotel,22/12/1962
19,73563,Kevin Spacey,The Usual Suspects,26/07/1959
20,72957,Tom Hardy,Inception,15/09/1977
21,72904,Jack Nicholson,Chinatown,22/04/1937
22,71430,Woody Harrelson,True Detective,23/07/1961
23,69889,Tom Cruise,Top Gun,03/07/1962
24,66238,Robert Duvall,The Apostle,05/01/1931
25,63982,Ryan Gosling,Blue Valentine,12/11/1980
26,63650,Russell Crowe,Les Misérables,07/04/1964
27,62922,Liam Neeson,Kinsey,07/06/1952
28,62549,Steve Buscemi,Fargo,13/12/1957
29,62972,Jake Gyllenhaal,Nightcrawler,19/12/1980
30,61094,Joseph Gordon-Levitt,Inception,17/02/1981
31,60975,Mark Ruffalo,Spotlight,22/11/1967
32,60431,Harvey Keitel,Reservoir Dogs,13/05/1939
33,60383,Denzel Washington,Fences,28/12/1954
34,60087,George Clooney,The Ides of March,06/05/1961
