"item","max.factor","max.value"
"3125",1,-0.0764381342886015
"5648",1,-0.0739416326947769
"325",1,-0.0721932268889459
"3845",1,-0.0716606160632707
"3826",1,-0.0666797873795056
"5636",1,-0.0649594549763381
"4925",1,-0.0618758091243703
"3701",1,-0.0615596469700767
"4500",1,-0.0612023373908808
"1245",1,-0.0611985561040699
"2023",1,-0.060094139082646
"6400",1,-0.06000891996078
"3662",1,-0.059260789049085
"3968",1,-0.0592054152996332
"3169",1,-0.0586575312155442
"3126",1,-0.0578576226831105
"635",1,-0.0576996034046351
"3282",1,-0.0570672026534054
"1700",1,-0.0569957635569695
"22",1,-0.0564306899764397
"378",1,-0.0558814002892614
"1360",1,-0.0555931621331615
"2527",1,-0.0555895124282404
"943",1,-0.0544882224169503
"4193",1,-0.0544601602490363
"2016",1,-0.0544353906308805
"5717",1,-0.0540698420143796
"3257",1,-0.0538851811746095
"4620",1,-0.0538634403245637
"590",1,-0.0534624922310591
"4486",1,-0.0533905584167398
"3297",1,-0.0533738991898473
"6397",1,-0.0531915848177937
"4831",1,-0.052702138377889
"6504",1,-0.0520337248501925
"1064",1,-0.05190715469932
"1228",1,-0.0518833551551179
"5917",1,-0.051832002667937
"5272",1,-0.0518260662151122
"2417",1,-0.0517535694108969
"4256",1,-0.0517151693520022
"5975",1,-0.0515009707303978
"3176",1,-0.051112693024437
"861",1,-0.0510349427571376
"2936",1,-0.0509423440305371
"5651",1,-0.0506003810018122
"2278",1,-0.0502648474990199
"4797",1,-0.050108238625077
"1913",1,-0.0500247597346489
"820",1,-0.0496607068399816
"2603",1,-0.0496392827316066
"3981",1,-0.0496166971583652
"3307",1,-0.0495712663482326
"2543",1,-0.0488711168871472
"3547",1,-0.0487584316050666
"3982",1,-0.0484819577024981
"5510",1,-0.0484634304557024
"2385",1,-0.0482759884577531
"5305",1,-0.0481475327129395
"677",1,-0.0477152806748685
"2408",1,-0.0474357154131725
"3573",1,-0.0474283489612262
"1134",1,-0.0473595577364766
"3343",1,-0.0473001555362811
"3721",1,-0.0471051922251177
"4313",1,-0.0470991715271305
"2275",1,-0.0470234552483048
"2801",1,-0.047002303333057
"2438",1,-0.0469064190780492
"1671",1,-0.0468679859346375
"4512",1,-0.0467661608282161
"3364",1,-0.0465157448426558
"4944",1,-0.0464955634383359
"481",1,-0.046401923436288
"1726",1,-0.0462283303032516
"4895",1,-0.0461897643982419
"3656",1,-0.0461584861378737
"1421",1,-0.0461351330032468
"1004",1,-0.0459760348324741
"3478",1,-0.0457457999388804
"312",1,-0.0457082483596498
"3219",1,-0.045581477108709
"916",1,-0.0455534786376432
"5225",1,-0.0453926345044696
"323",1,-0.0452486694026973
"6442",1,-0.0451153323504148
"2471",1,-0.0448825165616878
"2989",1,-0.0448502906684284
"5373",1,-0.0447673336674452
"2401",1,-0.0447192680918233
"2207",1,-0.044700333989294
"1231",1,-0.044639357296549
"1022",1,-0.0446380812231217
"1183",1,-0.0446295328098975
"1630",1,-0.0445661019734971
"5991",1,-0.0444958777059902
"4525",1,-0.0443868107615448
"2513",1,-0.0442713232043835
"559",1,-0.0441936638265035
"3913",1,-0.0441668552871279
"1266",1,-0.0440936703337655
"4808",1,-0.0440086537789347
"4752",1,-0.0438305831090697
"4345",1,-0.0437695595174326
"3961",1,-0.0436244345944732
"588",1,-0.0436013223784603
"2709",1,-0.0435008091815906
"2326",1,-0.0434800493733562
"3801",1,-0.0433582844690775
"1708",1,-0.0433238543936957
"1526",1,-0.0432357809321383
"1301",1,-0.0432082938064728
"3476",1,-0.0430393503562145
"3558",1,-0.0430200059097766
"794",1,-0.0428321753673534
"488",1,-0.0428283135674209
"1468",1,-0.0427953238468732
"5307",1,-0.0426372980718124
"5887",1,-0.042612443610874
"423",1,-0.0424362964391489
"975",1,-0.0424143697260432
"422",1,-0.042390753765039
"1924",1,-0.0423355814634644
"6278",1,-0.042325802060757
"340",1,-0.0422342826305652
"5690",1,-0.0421052917481763
"903",1,-0.0420732565200666
"4026",1,-0.0420630141023
"748",1,-0.0420622310395421
"3611",1,-0.0420424536809448
"2588",1,-0.0417909912637637
"2945",1,-0.0417746395620648
"2103",1,-0.0417583903501137
"4364",1,-0.0415963825576889
"5476",1,-0.0415327880953899
"235",1,-0.0415146890817191
"1388",1,-0.0415132221603043
"5967",1,-0.0414150587805151
"5533",1,-0.0413556686669988
"766",1,-0.041333747687499
"5555",1,-0.0412886066423363
"3519",1,-0.0412638210052183
"5459",1,-0.04109643628859
"218",1,-0.0410822167591539
"5208",1,-0.0410780862690234
"5490",1,-0.041070388284776
"617",1,-0.0410125110376839
"346",1,-0.0410099183129604
"3686",1,-0.0406934055361739
"2591",1,-0.0406439856357411
"3760",1,-0.0406071307552947
"4029",1,-0.0404968949387255
"5802",1,-0.0404748409519823
"986",1,-0.0404635839974495
"6188",1,-0.0403950489719304
"2559",1,-0.0403061935026267
"4929",1,-0.0402236867180471
"3576",1,-0.0400751787447708
"5884",1,-0.0399864445477796
"3692",1,-0.0399743821772841
"5747",1,-0.0399000255980274
"392",1,-0.0398896239984763
"3958",1,-0.039846239022979
"3428",1,-0.0398446331921392
"6269",1,-0.0398152384464821
"2992",1,-0.0397881191056958
"3310",1,-0.0397659767181253
"2713",1,-0.0396202718465766
"2466",1,-0.039299890197091
"2877",1,-0.039252125770004
"6223",1,-0.0392451018870787
"3896",1,-0.0391974722899414
"1353",1,-0.039043263302695
"714",1,-0.0389978047799693
"2491",1,-0.0389655981410227
"3472",1,-0.0389390456625132
"620",1,-0.038815937096031
"329",1,-0.0385965559507119
"5112",1,-0.0385854302153769
"205",1,-0.0385327376598985
"3734",1,-0.0384750300694575
"5936",1,-0.0384087638460666
"377",1,-0.0383887969120812
"5527",1,-0.0382952061373545
"1267",1,-0.0381420907737591
"3015",1,-0.0381024764280505
"4160",1,-0.0380671233714892
"5673",1,-0.0379420697044258
"532",1,-0.037933793761655
"3696",1,-0.0378608493297434
"2842",1,-0.0377373011932716
"3624",1,-0.0377068470207781
"1941",1,-0.0375238533978355
"4046",1,-0.0374758575028965
"207",1,-0.0374222633290853
"1436",1,-0.0372924113207599
"2214",1,-0.0372779569801149
"1331",1,-0.037235381528402
"2297",1,-0.0372158933703769
"439",1,-0.0370176506987593
"2955",1,-0.0369334004938223
"767",1,-0.0369197176181479
"206",1,-0.0367945177042115
"1845",1,-0.0366972339107947
"1450",1,-0.0365890945806449
"5445",1,-0.0364393063449877
"2675",1,-0.0362294917125401
"1270",1,-0.036175379144533
"4854",1,-0.0361644414967585
"5469",1,-0.0361255373080353
"5679",1,-0.0360487746697459
"6403",1,-0.0358162536552453
"135",1,-0.0357749629937541
"1471",1,-0.0356063714121431
"2106",1,-0.0355822136873474
"4222",1,-0.0355692084249971
"2266",1,-0.0351897092813409
"4579",1,-0.0351607736222593
"1108",1,-0.0349476646750583
"6381",1,-0.0349203403036838
"4781",1,-0.0349128275371373
"5128",1,-0.0348352440763087
"1446",1,-0.0347805294987618
"4206",1,-0.0347746318781757
"1285",1,-0.0347467013442783
"4089",1,-0.0347462934754498
"2108",1,-0.034549073537719
"3944",1,-0.0345201259039046
"2191",1,-0.0344882497057147
"4554",1,-0.0343817613357057
"6459",1,-0.0343616623016644
"3695",1,-0.0343436932451708
"6484",1,-0.0340611960861231
"662",1,-0.0339952504592858
"4093",1,-0.033898777328578
"1582",1,-0.033692808905096
"1625",1,-0.0334001301639577
"6038",1,-0.0332983184160687
"297",1,-0.0332600339110154
"643",1,-0.0332421600685759
"4045",1,-0.0330323470451149
"1100",1,-0.0329473808983163
"804",1,-0.0328307466836629
"2431",1,-0.0327945563365181
"2251",1,-0.0327493105624282
"5763",1,-0.0327272496340525
"261",1,-0.0327194470412076
"821",1,-0.0327002912181643
"4569",1,-0.0325893215905271
"4290",1,-0.0325187211153962
"5508",1,-0.0324938426412188
"47",1,-0.0324912890517049
"4146",1,-0.0324340106002505
"5682",1,-0.0323977183569474
"2386",1,-0.0323470698218061
"3691",1,-0.032322969393254
"5876",1,-0.0322829762787477
"790",1,-0.0321983676025447
"670",1,-0.0321688789062587
"6320",1,-0.0321576674933291
"3445",1,-0.032126675014606
"6379",1,-0.0319945226679845
"879",1,-0.0319919936928194
"2806",1,-0.0318979625951824
"2875",1,-0.0318172621141091
"4644",1,-0.0318029571828696
"2004",1,-0.0317870833035921
"5135",1,-0.0317668811572476
"4616",1,-0.0317658105110637
"6156",1,-0.0317226662656698
"5847",1,-0.0317174935372603
"1823",1,-0.0316014400617419
"6178",1,-0.0315759403057713
"2909",1,-0.0315416090301871
"5961",1,-0.0314910995685674
"3127",1,-0.031487356181427
"584",1,-0.0314861995091304
"4920",1,-0.0314208387901986
"4347",1,-0.0313966600521178
"3934",1,-0.0313955611038618
"5576",1,-0.0313654359586217
"5120",1,-0.0312567931509368
"4501",1,-0.0312452317291904
"5926",1,-0.0311508993720746
"3026",1,-0.0311445644513182
"4708",1,-0.0311222691909491
"1025",1,-0.0310806289993286
"1761",1,-0.031022674106292
"6235",1,-0.0309877564010711
"5755",1,-0.0309834838136796
