"id","director"
"s89","Marcus Clarke"
"s94","Alexis Almström"
"s102","Chapman Way"
"s102","Maclain Way"
"s103","Jason Hehir"
"s111","Luis Alfaro"
"s111","Javier Gómez Santander"
"s113","Sara Colangelo"
"s3","Julien Leclercq"
"s6","Mike Flanagan"
"s7","Robert Cullen"
"s7","José Luis Ucha"
"s9","Andy Devonshire"
"s10","Theodore Melfi"
"s12","Kongkiat Komesiri"
"s13","Christian Schwochow"
"s14","Bruno Garotti"
"s19","Adam Salky"
"s21","Olivier Megaton"
"s114","Stephen Herek"
"s118","Luke Holland"
"s31","Ashwiny Iyer Tiwari"
"s31","Abhishek Chaubey"
"s31","Saket Chaudhary"
"s36","Daniel Sandu"
"s37","Cédric Jimenez"
"s65","David Yarovesky"
"s72","David A. Vargas"
"s76","Ben Simms"
"s80","Delhiprasad Deenadayalan"
"s81","Tomer Eshed"
"s82","Cedric Nicolas-Troyan"
"s87","Thomas Sieben"
"s131","Scott Pleydell-Pearce"
"s904","Martin Prakkat"
"s906","Zhang Chong"
"s920","Joshua Zeman"
"s827","Bo Burnham"
"s828","Ekene Som Mekwunye"
"s830","Kevin Johnson"
"s832","José Larraza"
"s832","Marc Pons"
"s833","Gary Sing"
"s835","Julio Quintana"
"s837","Paween Purijitpanya"
"s841","Letizia Lamartire"
"s842","Ray Jiang"
"s851","Vishwesh Krishnamoorthy"
"s854","Zack Snyder"
"s871","James Redford"
"s872","Kaashvie Nair"
"s874","Nikhil Pherwani"
"s878","Praveen Kandregula"
"s882","Donovan Marsh"
"s883","Brent Dawes"
"s890","Joe Wright"
"s895","David Pablos"
"s898","Cai Cong"
"s1229","Gitanjali Rao"
"s1233","Carlos Moreno"
"s1235","Maribel Sánchez-Maroto"
"s1237","Julien Leclercq"
"s1147","Adrián García Bogliano"
"s1152","Blair Simmons"
"s1242","Amy Poehler"
"s1243","Jared Hess"
"s1243","Tyler Measom"
"s1157","Roman White"
"s1166","Umesh Bist"
"s1168","Massimiliano Camaiti"
"s1171","Aleksey Tsitsilin"
"s1172","Ali Tabrizi"
"s1174","Jung-ah Im"
"s1185","Li Weiran"
"s1188","Anna Elizabeth James"
"s1189","Vitor Brandt"
"s1196","Chris Smith"
"s1197","Alain Brunard"
"s1203","Hemambar Jasti"
"s1213","Can Ulkay"
"s1219","Miguel Arteta"
"s1221","Pablo Agüero"
"s1249","Emmett Malloy"
"s747","Mark Raso"
"s751","Yulene Olaizola"
"s758","Jonathan Clay"
"s759","Ally Pankiw"
"s765","Jayan Moodley"
"s766","Daniel Benmayor"
"s619","Matt Thompson"
"s627","John Dower"
"s769","Helena Bergström"
"s772","Chiaki Kon"
"s637","Jonathan Hensleigh"
"s638","Srijit Mukherji"
"s638","Vasan Bala"
"s638","Abhishek Chaubey"
"s644","Justin P. Lange"
"s645","Kimmy Gatewood"
"s646","Tània Balló"
"s647","Manolo Caro"
"s782","Peter Galison"
"s812","Steve Ball"
"s686","Paul Weitz"
"s688","Karthik Subbaraj"
"s691","Keishi Otomo"
"s693","Hsu Fu-chun"
"s694","Lucky Kuswandi"
"s712","Peter Chelsom"
"s725","Jerry Rothwell"
"s729","Bradley Parker"
"s736","Prabhakaran"
"s737","Manjari Makijany"
"s738","Jay Oliva"
"s740","Chris Appelhans"
"s743","Bao Nhan"
"s743","Namcito"
"s480","Leigh Janiak"
"s482","Douglas Attal"
"s501","Oleg Trofim"
"s504","Jan Holoubek"
"s507","Christine Luby"
"s364","Jaume Balagueró"
"s373","Keishi Otomo"
"s374","David Charhon"
"s376","Steven Tsuchida"
"s378","Daniel Markowicz"
"s381","Glen Winter"
"s388","Laxman Utekar"
"s394","Clay Glen"
"s396","Marcos Bucay"
"s397","Peter Thorwarth"
"s399","Kim Seong-hun"
"s403","Augustine Frizzell"
"s429","Kyohei Ishiguro"
"s433","Johane Matte"
"s433","Andrew L. Schmidt"
"s433","Francisco Ruiz Velasco"
"s551","Leigh Janiak"
"s552","Vinil Mathew"
"s557","Kim Tae-hyung"
"s437","Abdulaziz Alshlahei"
"s438","Edward Drake"
"s442","Leigh Janiak"
"s453","Hadrah Daeng Ratu"
"s458","Mayye Zayed"
"s459","Alessandra de Rossi"
"s464","Roberto De Feo"
"s464","Paolo Strippoli"
"s465","Navot Papushado"
"s469","Ricardo Trogi"
"s472","Akay Mason"
"s472","Abosi Ogba"
"s578","Malik Nejer"
"s581","Shuko Murase"
"s1425","Ross Venokur"
"s1433","Maite Ruiz De Austri"
"s1369","Lluís Quílez"
"s1370","Jude Weng"
"s1371","Simon Stone"
"s1373","Noviandra Santosa"
"s1379","Glendyn Ivin"
"s1389","Ramin Bahrani"
"s1406","Mikael Håfström"
"s1411","Renuka Shahane"
"s1412","Ross Kauffman"
"s1413","Sung Do-jun"
"s1417","Tiller Russell"
"s1419","Chris Rock"
"s1421","Stanley Nelson"
"s1469","Kim Dong-kyu"
"s1342","Sam Levinson"
"s1343","Jo Sung-hee"
"s1344","Michèle Ohayon"
"s1346","Guo Jingming"
"s1259","Jérémie Degruson"
"s1259","Ben Stassen"
"s1261","Dani de la Orden"
"s1266","Ribhu Dasgupta"
"s1270","Rizki Balki"
"s1282","Tirumala Kishore"
"s1291","J Blakeson"
"s1294","Tharun Bhascker Dhaassyam"
"s1294","B. V. Nandini Reddy"
"s1294","Nag Ashwin"
"s1294","Sankalp Reddy"
"s1305","Ben Simms"
"s1312","Hamisha Daryani Ahuja"
"s1319","Michael Fimognari"
"s1320","Eric D. Cabello Díaz"
"s1326","Alain Darborg"
"s1327","Filip Zylber"
