"show_id","Languages"
"s92","French"
"s93","Turkish"
"s93","English"
"s93","Spanish"
"s93","French"
"s93","Arabic"
"s93","Russian"
"s93","Italian"
"s93","Dutch"
"s93","Polish"
"s94","Swedish"
"s96","English"
"s99","English"
"s100","English"
"s109","English"
"s110","Spanish"
"s111","Spanish"
"s112","English"
"s2","English"
"s3","French"
"s5","Hindi"
"s6","English"
"s11","English"
"s11","Italian"
"s13","German"
"s14","Portuguese"
"s15","Kannada"
"s19","English"
"s21","English"
"s26","English"
"s114","English"
"s118","German"
"s31","Hindi"
"s34","Korean"
"s36","Romanian"
"s37","French"
"s66","English"
"s71","Spanish"
"s80","Tamil"
"s83","English"
"s182","English"
"s906","Chinese"
"s906","Mandarin"
"s909","English"
"s919","Hindi"
"s920","English"
"s924","English"
"s834","Hebrew"
"s837","Thai"
"s839","Spanish"
"s843","English"
"s848","Korean"
"s849","English"
"s851","Hindi"
"s852","Hindi"
"s853","Hindi"
"s855","English"
"s856","English"
"s870","Spanish"
"s872","Hindi"
"s874","English"
"s874","Hindi"
"s878","Telugu"
"s881","English"
"s882","English"
"s885","Korean"
"s897","English"
"s901","English"
"s1228","Hindi"
"s1229","English"
"s1229","Hindi"
"s1232","English"
"s1233","Spanish"
"s1235","Spanish"
"s1236","Japanese"
"s1236","English"
"s1236","Dutch"
"s1237","French"
"s1239","English"
"s1147","Spanish"
"s1243","English"
"s1167","English"
"s1168","Italian"
"s1169","English"
"s1171","English"
"s1171","Russian"
"s1172","English"
"s1174","Korean"
"s1175","Korean"
"s1246","English"
"s1181","English"
"s1183","English"
"s1185","Chinese"
"s1187","Japanese"
"s1189","Portuguese"
"s1201","English"
"s1207","English"
"s1211","Korean"
"s1213","Turkish"
"s1219","English"
"s1221","Spanish"
"s1221","Basque"
"s747","English"
"s751","Spanish"
"s756","Dutch"
"s764","English"
"s766","Spanish"
"s619","English"
"s627","English"
"s627","French"
"s768","Japanese"
"s769","Swedish"
"s771","Arabic"
"s772","Japanese"
"s639","English"
"s640","Japanese"
"s643","Japanese"
"s646","English"
"s646","Spanish"
"s647","Spanish"
"s649","English"
"s654","English"
"s659","Korean"
"s806","Korean"
"s812","English"
"s821","Spanish"
"s685","Spanish"
"s687","Korean"
"s692","Korean"
"s697","English"
"s698","Spanish"
"s700","Icelandic"
"s700","English"
"s700","Swedish"
"s707","Spanish"
"s711","English"
"s712","English"
"s715","Korean"
"s716","Spanish"
"s718","English"
"s721","English"
"s725","Japanese"
"s725","English"
"s726","Spanish"
"s732","Korean"
"s738","English"
"s738","Tagalog"
"s738","Filipino"
"s740","English"
"s740","Mandarin"
"s745","Spanish"
"s478","English"
"s479","German"
"s483","English"
"s485","Korean"
"s491","Portuguese"
"s494","English"
"s494","Japanese"
"s501","English"
"s501","Russian"
"s504","Polish"
"s505","Spanish"
"s517","Thai"
"s534","Hebrew"
"s534","Yiddish"
"s539","English"
"s547","Korean"
"s365","English"
"s367","English"
"s370","English"
"s374","French"
"s378","Polish"
"s386","German"
"s387","English"
"s389","English"
"s396","Spanish"
"s397","English"
"s397","Arabic"
"s397","German"
"s398","English"
"s398","Hindi"
"s400","English"
"s402","Spanish"
"s404","English"
"s429","Japanese"
"s431","English"
"s432","Portuguese"
"s552","Hindi"
"s557","Korean"
"s437","Arabic"
"s454","Japanese"
"s459","Filipino"
"s467","English"
"s468","Spanish"
"s469","French"
"s473","English"
"s572","Italian"
"s578","Arabic"
"s618","Swedish"
"s1428","English"
"s1428","Spanish"
"s1428","Russian"
"s1428","Greek"
"s1428","German"
"s1428","MORE"
"s1432","Turkish"
"s1433","Spanish"
"s1440","English"
"s1441","Spanish"
"s1369","Spanish"
"s1370","English"
"s1373","Indonesian"
"s1374","Turkish"
"s1381","English"
"s1384","English"
"s1393","Spanish"
"s1395","English"
"s1395","Czech"
"s1396","English"
"s1401","English"
"s1403","English"
"s1406","English"
"s1411","English"
"s1411","Hindi"
"s1411","Marathi"
"s1413","Korean"
"s1417","English"
"s1417","Spanish"
"s1450","English"
"s1456","English"
"s1461","Spanish"
"s1467","English"
"s1340","Portuguese"
"s1343","English"
"s1346","Chinese"
"s1349","English"
"s1259","French; English"
"s1261","Spanish"
"s1270","Indonesian"
"s1273","English"
"s1273","Japanese"
"s1276","English"
"s1294","Telugu"
"s1295","English"
"s1295","German"
"s1297","Korean"
"s1302","English"
"s1309","Russian"
"s1312","English"
"s1312","Hindi"
"s1312","Pidgin"
"s1312","Nigerian"
"s2921","English"
"s1314","English"
"s1320","Spanish"
"s1326","English"
"s1326","Swedish"
"s1327","Polish"
"s1329","English"
"s1329","Spanish"
"s1330","French"
"s1552","English"
"s297","English"
"s297","Hebrew"
"s298","Tamil"
"s308","English"
"s310","English"
"s311","English"
"s312","Spanish"
"s313","English"
"s321","English"
"s187","Korean"
"s191","Telugu"
"s199","English"
"s215","English"
"s219","English"
"s223","English"
"s227","Norwegian"
"s235","French"
"s237","Tamil"
"s238","Tamil"
"s239","Tamil"
"s240","Tamil"
"s243","English"
"s243","Hindi"
"s247","Min Nan Chinese"
"s247","Mandarin"
"s250","English"
"s253","German"
"s255","English"
"s262","English"
"s262","Portuguese"
"s272","English"
"s274","French"
"s277","Spanish"
"s278","Arabic"
"s280","English"
"s1086","Korean"
"s1088","Hindi"
"s1093","English"
"s1095","English"
"s958","English"
"s961","Spanish"
"s964","Spanish"
"s966","English"
"s966","Japanese"
"s968","English"
"s969","Polish"
"s973","Turkish"
"s989","Korean"
"s994","English"
"s999","English"
"s1003","Spanish"
"s1109","Malayalam"
"s1027","English"
"s1033","Korean"
"s1045","Japanese"
"s1051","Japanese"
"s1059","English"
"s1059","Italian"
"s1063","Korean"
"s1076","English"
"s1076","Japanese"
"s1076","Spanish"
"s1076","Portuguese"
"s1076","Marathi"
"s1081","Chinese"
"s1081","Mandarin"
"s1128","English"
"s2031","English"
"s2034","Spanish"
"s2037","Korean"
"s2038","Korean"
"s1927","English"
"s2053","English"
"s2054","English"
"s2054","Swedish"
"s1952","German"
"s1953","Hindi"
"s1956","Korean"
"s1960","English"
"s2056","German"
"s1974","English"
"s1974","Hindi"
"s1992","English"
"s1995","English"
"s1997","Spanish"
"s2003","Spanish"
"s79","Tamil"
"s2008","Spanish"
"s2012","English"
"s2012","Mandarin"
"s2013","Spanish"
"s2062","English"
"s1869","English"
"s1869","American Sign Language"
"s1870","Hindi"
"s1874","English"
"s1876","Korean"
"s1878","Korean"
"s1879","English"
"s1881","Russian"
"s1886","English"
"s1886","Hindi"
"s1776","English"
"s1776","Dinka language"
"s1778","Hindi"
"s1779","English"
"s1781","French"
"s1783","Italian"
"s1783","French"
"s1783","Romani"
"s1789","Polish"
"s1790","English"
"s1791","English"
"s1792","English"
"s1794","English"
"s1800","German"
"s1800","Latin"
"s1807","Tamil"
"s1898","Hindi"
"s1899","Italian"
"s1902","Spanish"
"s1835","Korean"
"s1838","English"
"s1840","French"
"s1841","Spanish"
"s1842","English"
"s1851","Indonesian"
"s1865","English"
"s3434","French"
"s1903","English"
"s1903","Malay"
"s1911","Portuguese"
"s1728","Mandarin"
"s1734","Spanish"
"s1741","Swedish"
"s1638","Spanish"
"s1639","English"
"s1639","Hindi"
"s1641","English"
"s1641","German"
"s1643","English"
"s1644","Korean"
"s1647","English"
"s1647","Arabic"
"s1647","Mesopotamian Arabic"
"s1650","Japanese"
"s1653","Tamil"
"s1654","Tamil"
"s1658","Spanish"
"s1667","English"
"s1671","Hindi"
"s1686","Japanese"
"s1688","English"
"s1699","English"
"s1707","Spanish"
"s3288","Spanish"
"s1716","Portuguese"
"s1719","English"
"s1721","German"
"s1759","English"
"s1759","Danish"
"s1767","Korean"
"s2551","Italian"
"s2554","English"
"s2554","French"
"s2558","Chinese"
"s2558","Cantonese"
"s916","German"
"s2561","Spanish"
"s921","English"
"s921","Spanish"
"s2460","English"
"s2473","Hindi"
"s2487","Korean"
"s2500","Spanish"
"s2566","Spanish"
"s2509","English"
"s2525","English"
"s2549","English"
"s937","Korean"
"s2588","English"
"s2588","Hindi"
"s2590","English"
"s2831","English"
"s2838","Spanish"
"s1238","Indonesian"
"s2751","Sanskrit"
"s2762","Korean"
"s2764","English"
"s2773","English"
"s2778","German"
"s2778","Yiddish"
"s2778","English"
"s2787","English"
"s2787","Spanish"
"s2787","German"
"s2787","Italian"
"s2789","Japanese"
"s2791","English"
"s2792","English"
"s2794","English"
"s2796","English"
"s2800","Japanese"
"s2801","Arabic"
"s1193","German; English (dubbed)"
"s2817","English"
"s2819","Norwegian"
"s2822","Korean"
"s2825","English"
"s2825","German"
"s2825","Icelandic"
"s1223","English"
"s2826","English"
"s2827","Spanish"
"s2827","English"
"s2828","Portuguese"
"s2413","Italian"
"s2413","Polish"
"s2413","English"
"s2421","Hindi"
"s2425","English"
"s622","Chinese"
"s628","Chinese"
"s2328","German"
"s2328","German Sign Language"
"s2332","English"
"s2338","Korean"
"s2345","Spanish"
"s2347","English"
"s2350","Korean"
"s666","Finnish"
"s670","Spanish"
"s2358","English"
"s2361","Turkish"
"s2364","English"
"s2364","Spanish"
"s2364","Russian"
"s2365","Japanese"
"s2379","English"
"s699","Filipino"
"s2390","Tamil"
"s2402","Polish"
"s2405","German"
"s2405","Italian"
"s2410","Portuguese"
"s2446","Hindi"
"s2255","Turkish"
"s2256","Korean"
"s2259","English"
"s541","English"
"s2293","Tamil"
"s2293","Hindi"
"s2293","Telugu"
"s2293","English"
"s2293","Kannada"
"s2185","English"
"s2187","Hindi"
"s2188","English"
"s2188","Afrikaans"
"s2188","Zulu"
"s2188","Tswana"
"s2190","English"
"s2298","Japanese"
"s2199","Polish"
"s2200","English"
"s2202","English"
"s2206","Mandarin"
"s2211","Spanish/ English"
"s2212","Japanese"
"s2213","Spanish"
"s2216","English"
"s2304","English"
"s2304","Spanish"
"s2228","English"
"s2237","Tamil"
"s2237","Hindi"
