"item","max.factor","max.value"
"movi",1,-0.647568972779744
"intern",1,-0.453674968237759
"drama",1,-0.353021982676723
"love",1,-0.174656805402018
"romant",1,-0.144900660015013
"woman",1,-0.122973055585185
"man",1,-0.112287495541295
"independ",1,-0.111771950319039
"fall",1,-0.0987613181914222
"marri",1,-0.0587249216295201
"howev",1,-0.0572631007416748
"meet",1,-0.0555389187219555
"coupl",1,-0.038798486234955
"relationship",1,-0.0374166656642585
"daughter",1,-0.0338436726340766
"wife",1,-0.0329382038839895
"marriag",1,-0.0306491055934831
"past",1,-0.0277681672732401
"husband",1,-0.0264150466413287
"villag",1,-0.0246139650490644
"dream",1,-0.0220150048074667
"unexpect",1,-0.0171389686150703
"india",1,-0.0171055894168445
"show",2,0.759270822045485
"crime",2,0.198673652231171
"british",2,0.0746336671768837
"spanishlanguag",2,0.0636238162744503
"murder",2,0.0631960644743478
"realiti",2,0.0623219842055071
"korean",2,0.0573014206599469
"investig",2,0.0514757286029748
"case",2,0.0407744223074647
"detect",2,0.0398577369532368
"work",2,0.0347006404813115
"student",2,0.0319580323012689
"women",2,0.0300426050417553
"true",2,0.0255398489366137
"host",2,0.0245429066218849
"romanc",2,0.0217458490398543
"dark",2,0.0213581809335398
"comedi",3,-0.771210041849855
"standup",3,-0.218223802096417
"get",3,-0.123214301171419
"special",3,-0.114043220285559
"comic",3,-0.0938823743818234
"comedian",3,-0.0797341661599602
"thriller",3,0.0712825160047772
"perform",3,-0.057103958440472
"best",3,-0.0504885546110243
"netflix",3,-0.0481049571109076
"make",3,-0.0467606738185569
"talk",3,-0.0461488979158751
"decid",3,-0.0348744647793985
"stage",3,-0.0339393943259699
"way",3,-0.0333238075746876
"thing",3,-0.0324284316785384
"hilari",3,-0.0300186852399989
"like",3,-0.0271590039087614
"date",3,-0.0269440443693438
"three",3,-0.0258194078893934
"name",3,-0.0254545838298503
"win",3,-0.025319866171825
"guest",3,-0.0249657979548128
"sketch",3,-0.024460085498935
"differ",3,-0.0233104223536611
"want",3,-0.0225363523344802
"wed",3,-0.0224082299766913
"colleg",3,-0.0223713708033736
"big",3,-0.0223051180556482
"audienc",3,-0.0222319921442861
"job",3,-0.0218113519911983
"fun",3,-0.0216764341153053
"hes",3,-0.0214906999435092
"girlfriend",3,-0.021436804008109
"hit",3,-0.0213134313293691
"popular",3,-0.0211936169076418
"topic",3,-0.0206428511380177
"problem",3,-0.0199416818001512
"night",3,-0.0198391080589524
"men",3,-0.0184135009329223
"mike",3,-0.0181885919236279
"even",3,-0.0179192910246437
"singl",3,-0.017127343756528
"funni",3,-0.0170749360585
"feel",3,-0.0169117138508313
"wild",3,-0.0164567275403522
"adventur",4,-0.573519896874737
"action",4,-0.495777083581225
"fantasi",4,-0.121388587789062
"scifi",4,-0.117103394473973
"power",4,-0.108002735631596
"must",4,-0.105240645248018
"take",4,-0.100548947340992
"forc",4,-0.098833548690179
"fight",4,-0.0965120475257677
"team",4,-0.0911382067684253
"anim",4,-0.0853853711446712
"save",4,-0.0812025093975752
"mission",4,-0.0743220223723896
