"Position","Const","Created","Modified","Description","Name","Known.For","Birth.Date","rank_category"
1,"nm0000093","2018-07-19","2022-08-18","174697 points","Brad Pitt","Ad Astra","1963-12-18","top 10"
2,"nm0000151","2018-07-18","2021-12-28","169322 points","Morgan Freeman","Invictus","1937-06-01","top 10"
3,"nm0000138","2018-07-20","2022-04-09","165028 points","Leonardo DiCaprio","Inception","1974-11-11","top 10"
4,"nm0000134","2018-07-16","2021-05-01","151313 points","Robert De Niro","Raging Bull","1943-08-17","top 10"
5,"nm0000354","2018-07-22","2021-09-03","140716 points","Matt Damon","Good Will Hunting","1970-10-08","top 10"
6,"nm0000323","2018-07-16","2018-11-17","137003 points","Michael Caine","The Dark Knight","1933-03-14","top 10"
7,"nm0000288","2018-07-18","2021-04-29","126932 points","Christian Bale","The Dark Knight","1974-01-30","top 10"
8,"nm0000158","2018-07-20","2022-06-18","119774 points","Tom Hanks","Cast Away","1956-07-09","top 10"
9,"nm0000198","2018-07-19","2021-05-26","112643 points","Gary Oldman","The Dark Knight","1958-03-21","top 10"
10,"nm0000199","2018-07-16","2022-07-02","106454 points","Al Pacino","Serpico","1940-04-25","top 10"
11,"nm0000246","2018-07-18","2022-06-01","97268 points","Bruce Willis","Die Hard","1955-03-19","top 20"
12,"nm0001570","2018-07-22","2021-09-11","90851 points","Edward Norton","Fight Club","1969-08-18","top 20"
13,"nm0000148","2018-07-16","2021-05-10","88197 points","Harrison Ford","Raiders of the Lost Ark","1942-07-13","top 20"
14,"nm0000136","2018-07-18","2022-07-08","84624 points","Johnny Depp","Sweeney Todd: The Demon Barber of Fleet Street","1963-06-09","top 20"
15,"nm0614165","2018-08-04","2021-06-06","79799 points","Cillian Murphy","28 Days Later...","1976-05-25","top 20"
16,"nm0000450","2018-07-19","2022-11-16","79279 points","Philip Seymour Hoffman","The Master","1967-07-23","top 20"
17,"nm0000168","2018-07-20","2022-06-01","78876 points","Samuel L. Jackson","Pulp Fiction","1948-12-21","top 20"
18,"nm0000146","2018-07-20","2022-05-08","77799 points","Ralph Fiennes","The Grand Budapest Hotel","1962-12-22","top 20"
19,"nm0000228","2018-07-19","2021-11-16","73563 points","Kevin Spacey","The Usual Suspects","1959-07-26","top 20"
20,"nm0362766","2018-08-17","2022-02-08","72957 points","Tom Hardy","Inception","1977-09-15","top 20"
21,"nm0000197","2018-07-16","2020-07-17","72904 points","Jack Nicholson","Chinatown","1937-04-22","top 50"
22,"nm0000437","2018-07-20","2022-11-16","71430 points","Woody Harrelson","True Detective","1961-07-23","top 50"
23,"nm0000129","2018-07-18","2021-12-07","69889 points","Tom Cruise","Top Gun","1962-07-03","top 50"
24,"nm0000380","2018-07-16","2019-01-15","66238 points","Robert Duvall","The Apostle","1931-01-05","top 50"
25,"nm0331516","2018-08-03","2021-05-10","63982 points","Ryan Gosling","Blue Valentine","1980-11-12","top 50"
26,"nm0000128","2018-07-23","2022-04-09","63650 points","Russell Crowe","Les Misérables","1964-04-07","top 50"
27,"nm0000553","2018-07-20","2022-04-28","62922 points","Liam Neeson","Kinsey","1952-06-07","top 50"
28,"nm0000114","2018-07-19","2018-08-24","62549 points","Steve Buscemi","Fargo","1957-12-13","top 50"
29,"nm0350453","2018-08-01","2021-12-10","62972 points","Jake Gyllenhaal","Nightcrawler","1980-12-19","top 50"
30,"nm0330687","2018-08-17","2021-06-05","61094 points","Joseph Gordon-Levitt","Inception","1981-02-17","top 50"
31,"nm0749263","2018-08-02","2021-03-05","60975 points","Mark Ruffalo","Spotlight","1967-11-22","top 50"
32,"nm0000172","2018-07-16","2021-08-27","60431 points","Harvey Keitel","Reservoir Dogs","1939-05-13","top 50"
33,"nm0000243","2018-07-18","2022-12-14","60383 points","Denzel Washington","Fences","1954-12-28","top 50"
34,"nm0000123","2018-07-27","2019-11-25","60087 points","George Clooney","The Ides of March","1961-05-06","top 50"
35,"nm0177896","2018-08-08","2022-02-11","58148 points","Bradley Cooper","A Star Is Born","1975-01-05","top 50"
36,"nm0915989","2018-07-30","2022-01-15","57041 points","Hugo Weaving","The Lord of the Rings: The Return of the King","1960-04-04","top 50"
37,"nm0000179","2018-07-23","2018-08-22","55794 points","Jude Law","The Talented Mr. Ripley","1972-12-29","top 50"
38,"nm0000142","2018-07-15","2021-05-11","55367 points","Clint Eastwood","Million Dollar Baby","1930-05-31","top 50"
39,"nm0001618","2018-07-21","2022-01-31","54943 points","Joaquin Phoenix","Her","1974-10-28","top 50"
40,"nm0000729","2018-07-21","2021-12-20","54670 points","Casey Affleck","Gone Baby Gone","1975-08-12","top 50"
41,"nm0000190","2018-07-26","2022-09-09","53209 points","Matthew McConaughey","Dallas Buyers Club","1969-11-04","top 50"
42,"nm0000209","2018-07-18","2021-03-05","52954 points","Tim Robbins","Mystic River","1958-10-16","top 50"
