"Position","Const","Created","Modified","Points","Description","Name","Known.For","Birth.Date","rank_category"
1,"nm2225369","2018-08-17","2022-11-16",70488,"points","Jennifer Lawrence","The Hunger Games","1990-08-15","top 10"
2,"nm0000204","2018-07-20","2021-06-19",64117,"points","Natalie Portman","Black Swan","1981-06-09","top 10"
3,"nm0000194","2018-07-20","2022-11-16",63550,"points","Julianne Moore","Far from Heaven","1960-12-03","top 10"
4,"nm0000705","2018-07-20","2022-06-01",57521,"points","Robin Wright","Beowulf","1966-04-08","top 10"
5,"nm0000949","2018-07-30","2022-02-09",57412,"points","Cate Blanchett","Carol","1969-05-14","top 10"
6,"nm0004266","2018-08-05","2021-03-05",56731,"points","Anne Hathaway","Les Misérables","1982-11-12","top 10"
7,"nm0000701","2018-07-20","2022-11-20",55581,"points","Kate Winslet","Titanic","1975-10-05","top 10"
8,"nm0001735","2018-07-16","2018-07-18",54709,"points","Talia Shire","Rocky","1946-04-25","top 10"
9,"nm0000473","2018-07-16","2018-08-02",52796,"points","Diane Keaton","Annie Hall","1946-01-05","top 10"
10,"nm2244205","2018-08-10","2021-12-09",52174,"points","Léa Seydoux","La vie d'Adèle","1985-07-01","top 10"
11,"nm0461136","2018-08-02","2021-05-01",50689,"points","Keira Knightley","Pirates of the Caribbean: The Curse of the Black Pearl","1985-03-26","top 20"
12,"nm0000235","2018-07-18","2022-04-28",50584,"points","Uma Thurman","Kill Bill: Vol. 1","1970-04-29","top 20"
13,"nm0182839","2018-08-07","2022-02-09",49295,"points","Marion Cotillard","La Môme","1975-09-30","top 20"
14,"nm0424060","2018-08-01","2020-02-09",48093,"points","Scarlett Johansson","Lost in Translation","1984-11-22","top 20"
15,"nm1567113","2018-08-18","2021-07-15",47837,"points","Jessica Chastain","Zero Dark Thirty","1977-03-24","top 20"
16,"nm0010736","2018-08-01","2018-08-23",47662,"points","Amy Adams","Arrival","1974-08-20","top 20"
17,"nm0000307","2018-07-17","2018-08-20",47201,"points","Helena Bonham Carter","Sweeney Todd: The Demon Barber of Fleet Street","1966-05-26","top 20"
18,"nm0267812","2018-08-05","2020-07-17",44087,"points","Vera Farmiga","Up in the Air","1973-08-06","top 20"
19,"nm0000658","2018-07-17","2022-02-09",43263,"points","Meryl Streep","Out of Africa","1949-06-22","top 20"
20,"nm0000149","2018-07-16","2021-09-03",42826,"points","Jodie Foster","The Silence of the Lambs","1962-11-19","top 20"
21,"nm0842770","2018-08-01","2022-11-09",42054,"points","Tilda Swinton","We Need to Talk About Kevin","1960-11-05","top 50"
22,"nm0350454","2018-08-02","2022-06-08",41787,"points","Maggie Gyllenhaal","Secretary","1977-11-16","top 50"
23,"nm0000113","2018-07-20","2022-02-09",39829,"points","Sandra Bullock","The Proposal","1964-07-26","top 50"
24,"nm0000569","2018-07-21","2019-12-18",39032,"points","Gwyneth Paltrow","Shakespeare in Love","1972-09-27","top 50"
25,"nm0000531","2018-07-17","2021-09-13",38115,"points","Frances McDormand","Three Billboards Outside Ebbing, Missouri","1957-06-23","top 50"
26,"nm0000213","2018-07-18","2021-09-24",37977,"points","Winona Ryder","Little Women","1971-10-29","top 50"
27,"nm0000244","2018-07-17","2022-01-31",37156,"points","Sigourney Weaver","Avatar","1949-10-08","top 50"
