"id","type","title","data_added","release_year","rating","duration","duration_units","plot","score","google_language","google_genre","google_plot"
"s89","Movie","Blood Brothers: Malcolm X & Muhammad Ali","2021-09-09",2021,"PG-13",96,"min","From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.",61,"absent","absent","The extraordinary story behind the friendship of two of the most iconic figures of the 20th century, Muhammad Ali and Malcolm X: the charismatic and outspoken Olympic champion who charmed the nation, and the ex-con-turned intellectual revolutionary who railed against the evils of white oppression by speaking truth to power."
"s93","TV Show","Into the Night","2021-09-08",2021,"TV-MA",2,"Seasons","Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.",79,"present","present","When the sun starts to kill everything in its path, a plane full of passengers must travel at night in an attempt to escape its destructive power and find some place safe."
"s94","Movie","JJ+E","2021-09-08",2021,"TV-MA",91,"min","Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?",68,"present","absent","Elizabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?"
"s96","TV Show","The Circle","2021-09-08",2021,"TV-MA",3,"Seasons","Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.",86,"present","present","In this lighthearted and strategic competition series, the players must choose whether to be themselves or other people -- all while chasing a cash prize."
"s98","TV Show","Kid Cosmic","2021-09-07",2021,"TV-Y7",2,"Seasons","A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.",83,"absent","present","An imaginative boy acquires superpowers after finding five cosmic rings."
"s99","TV Show","Octonauts: Above & Beyond","2021-09-07",2021,"TV-Y",1,"Season","The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk.",71,"present","absent","The Octonauts expand their exploration beyond the sea - and onto land. With new rides and new friends, they are prepared to protect any habitats and animals at risk on land or under the water."
"s100","TV Show","On the Verge","2021-09-07",2021,"TV-MA",1,"Season","Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA.",80,"present","absent","Four woman -- a chef, a single mother, an heiress, and a job seeker -- dig into love, work and midlife crises in pre-pandemic Los Angeles."
"s102","Movie","Untold: Breaking Point","2021-09-07",2021,"TV-MA",80,"min","Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court.",66,"absent","absent","Untold: Breaking Point is a 2021 American biographical documentary film made for Netflix and directed by Chapman Way and Maclain Way. Wikipedia"
"s103","TV Show","Countdown: Inspiration4 Mission to Space","2021-09-06",2021,"TV-14",1,"Season","From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission.",81,"absent","absent","A chronicle of the SpaceX Dragon mission, Inspiration4, in which four civilians travel into space on a three-day trip."
"s107","TV Show","Bunk'd","2021-09-05",2021,"TV-G",5,"Seasons","The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met.",83,"absent","present","Emma, Ravi and Zuri Ross go to find adventure at the summer camp in Maine, where their parents had met for the first time."
"s109","TV Show","Dive Club","2021-09-03",2021,"TV-G",1,"Season","On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing.",78,"present","present","Teen divers unravel a mystery when their best friend disappears after a storm hits their small coastal town."
"s110","TV Show","La casa de papel","2021-09-03",2021,"TV-MA",5,"Seasons","Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.",95,"present","present","A criminal mastermind who goes by ""The Professor"" has a plan to pull off the biggest heist in recorded history -- to print billions of euros in the Royal Mint of Spain. To help him carry out the ambitious plan, he recruits eight people with certain abilities and who have nothing to lose. The group of thieves take hostages to aid in their negotiations with the authorities, who strategize to come up with a way to capture The Professor. As more time elapses, the robbers prepare for a showdown with the police.â€¦\xa0MORE"
